keys,it
Link Views (toggle),Collega le viste (attiva/disattiva)
Load Theme…,Carica tema…
Reload Theme,Ricarica tema
Theme Editor…,Editor dei temi…
MCP Server (AI tools),Server MCP (strumenti IA)
"Hide the advanced/code entries (GDScript blocks, sub-conditions, pick filters, match, signals/enums) from the right-click menus. Everything still works in Expert mode.","Nasconde le voci avanzate/di codice (blocchi GDScript, sottocondizioni, filtri, match, segnali/enumerazioni) dai menu contestuali. Tutto resta disponibile in modalità esperto."
Show/hide the generated-GDScript panel beside the sheet.,Mostra/nasconde il pannello GDScript generato accanto al foglio.
"Show/hide the trailing ""+ Add event…"" rows. Turn off for a cleaner, calmer sheet.",Mostra/nasconde le righe « + Aggiungi evento… ». Disattivale per un foglio più pulito.
"Show/hide a second synchronized view of this sheet, side by side.","Mostra/nasconde una seconda vista sincronizzata di questo foglio, fianco a fianco."
Pop the sheet view out into its own window / bring it back.,Stacca la vista del foglio in una finestra separata / la riporta indietro.
Link/unlink scrolling between the split views.,Collega/scollega lo scorrimento tra le viste divise.
Debug Breakpoints (toggle),Punti di interruzione (attiva/disattiva)
Live Values (toggle),Valori in tempo reale (attiva/disattiva)
Event Trace (live highlight),Traccia eventi (evidenziazione in tempo reale)
Bookmarks…,Segnalibri…
Register Autoload,Registra l'autoload
Publish Preview…,Anteprima di pubblicazione…
Test Bench,Banco di prova
Find in Project…,Cerca nel progetto…
Project Doctor…,Dottore del progetto…
Check Sheet for Errors,Controlla gli errori del foglio
Vocabulary Doc,Doc del vocabolario
Sheet Backups…,Backup del foglio…
Save as Template,Salva come modello
Attach to Selected Node,Collega al nodo selezionato
Preview Behaviors on Selected Node,Anteprima dei comportamenti sul nodo selezionato
Lift Report…,Rapporto di importazione…
Welcome…,Benvenuto…
Start the Tour…,Inizia il tour…
Keyboard Shortcuts,Scorciatoie da tastiera
Rename Everywhere…,Rinomina ovunque…
Change Type Everywhere…,Cambia il tipo ovunque…
Lint every ƒx expression + GDScript block; flag the offending rows and jump to the first.,Analizza ogni espressione ƒx e blocco GDScript; segnala le righe problematiche e salta alla prima.
Toggle breakpoint emission: debug-compiled sheets pause at rows with breakpoints.,Attiva/disattiva l'emissione dei punti di interruzione: i fogli compilati in debug si fermano alle righe marcate.
Toggle Live Values: running sheets stream their variables here (editable).,Attiva/disattiva i valori in tempo reale: i fogli in esecuzione trasmettono qui le loro variabili (modificabili).
+ Add action,+ Aggiungi azione
+ Add condition,+ Aggiungi condizione
+ Add parameter,+ Aggiungi parametro
+ Add event…,+ Aggiungi evento…
Every Tick,Ogni tick
Always,Sempre
+  Add your first event,+  Aggiungi il tuo primo evento
New from template…,Nuovo da modello…
Create an event sheet…,Crea un foglio eventi…
This event sheet is empty,Questo foglio eventi è vuoto
No event sheet is open,Nessun foglio eventi è aperto
Empty behavior sheet,Foglio di comportamento vuoto
Empty autoload sheet,Foglio di autoload vuoto
Double-click anywhere - or press E - to add your first event.,Fai doppio clic ovunque - o premi E - per aggiungere il tuo primo evento.
Double-click anywhere - or press E - to add an event that drives the Node this attaches to.,Fai doppio clic ovunque - o premi E - per aggiungere un evento che guida il Node a cui questo è collegato.
Create one to start building - a menu of ready-made starters opens.,Creane uno per iniziare - si apre un menu di modelli pronti all'uso.
"Add the signals and functions every sheet in the project should reach (score, game state, an event bus).","Aggiungi i segnali e le funzioni che ogni foglio del progetto dovrebbe raggiungere (punteggio, stato del gioco, un bus di eventi)."
"Tip: the picker understands plain language. Try typing ""every tick"".",Suggerimento: il selettore capisce il linguaggio comune. Prova a scrivere «every tick».
Tip: Tools > Welcome… has a playable showcase and a 2-minute tour.,Suggerimento: Strumenti > Benvenuto… offre una demo giocabile e un tour di 2 minuti.
Tip: publish a function to the picker and every sheet in the project can call it.,Suggerimento: pubblica una funzione nel selettore e ogni foglio del progetto potrà chiamarla.
%s - Behavior · acts on host: %s,%s - Comportamento · agisce sull'host: %s
"%s - Autoload · one instance, project-wide","%s - Autoload · una sola istanza, per tutto il progetto"
%s - Editor Tool · runs in the editor (File > Run),%s - Strumento dell'editor · gira nell'editor (File > Esegui)
%s - Custom Resource · every .tres of it is a data asset,%s - Risorsa personalizzata · ogni suo .tres è un asset di dati
Event Sheet · a script for the %s it's attached to,Foglio eventi · uno script per il %s a cui è collegato
%s - Custom Node · extends %s,%s - Nodo personalizzato · estende %s
"Click to edit the sheet type (name, icon, host class).","Fai clic per modificare il tipo di foglio (nome, icona, classe host)."
Add Action / Condition,Aggiungi azione / condizione
"Search actions, conditions, triggers...","Cerca azioni, condizioni, trigger…"
Pin the highlighted entry to Favorites (or right-click any entry).,Fissa la voce evidenziata nei preferiti (o clic destro su qualsiasi voce).
Right-click any entry to pin it here.,Clic destro su una voce per fissarla qui.
Entries you use appear here.,Le voci che usi appaiono qui.
"Select a condition, action, or trigger to create a new event.","Seleziona una condizione, un'azione o un trigger per creare un nuovo evento."
Select an action to append to the selected event.,Seleziona un'azione da aggiungere all'evento selezionato.
Select a condition or trigger to append to the selected event.,Seleziona una condizione o un trigger da aggiungere all'evento selezionato.
Untitled EventSheet,Foglio senza titolo
Unsaved (in-memory),Non salvato (in memoria)
Open Sheets,Fogli aperti
Filter sheets…,Filtra i fogli…
Filter the open sheets by name or path.,Filtra i fogli aperti per nome o percorso.
New Event,Nuovo evento
New Condition,Nuova condizione
Edit Action,Modifica l'azione
Edit Condition,Modifica la condizione
Delete Action,Elimina l'azione
Delete Condition,Elimina la condizione
Delete Function,Elimina la funzione
Replace Action,Sostituisci l'azione
Replace Condition,Sostituisci la condizione
Disable Action,Disattiva l'azione
Disable Condition,Disattiva la condizione
Invert Condition,Inverti la condizione
Add New Variable,Aggiungi una nuova variabile
Create Variable,Crea la variabile
Edit Variable,Modifica la variabile
Add a function…,Aggiungi una funzione…
Edit Note…,Modifica la nota…
Edit Events,Modifica gli eventi
Insert Snippet…,Inserisci uno snippet…
Extract All Actions to Function…,Estrai tutte le azioni in una funzione…
Group Under a Heading…,Raggruppa sotto un titolo…
Export Grid to CSV…,Esporta la tabella in CSV…
Import Grid from CSV…,Importa la tabella da CSV…
Detach Comment To Row,Stacca il commento in una riga
Convert Scope,Converti l'ambito
Toggle Constant,Attiva/disattiva costante
Whole numbers only,Solo numeri interi
Editable in the Inspector (a designer property),Modificabile nell'Inspector (una proprietà di design)
Constant (can't change at runtime),Costante (non cambia a runtime)
Set on _ready() - for node refs like $Player,Impostata in _ready() - per riferimenti a nodi come $Player
"Text - words, names, messages.","Testo - parole, nomi, messaggi."
"A number - a count, score, position, speed… Tick ""Whole numbers only"" for integers.","Un numero - un conteggio, un punteggio, una posizione, una velocità… Spunta «Solo numeri interi» per gli interi."
"A yes/no, on/off switch (true / false).","Un interruttore sì/no, acceso/spento (true / false)."
"An x/y pair: a direction, velocity, or position.","Una coppia x/y: una direzione, una velocità o una posizione."
An RGBA colour.,Un colore RGBA.
An image / sprite resource.,Una risorsa immagine / sprite.
Viewing as a sheet,Visualizzato come foglio
Open in Godot Script Editor,Apri nell'editor di script di Godot
Edit the .gd directly in Godot's script editor - your changes reload here when you come back to this tab.,Modifica il .gd direttamente nell'editor di script di Godot - le tue modifiche si ricaricano qui quando torni a questa scheda.
Take the 2-minute tour,Fai il tour di 2 minuti
Editor language,Lingua dell'editor
Simple mode - hide advanced rows & menu items,Modalità semplice - nascondi righe e menu avanzati
Open the GDScript panel with every sheet,Apri il pannello GDScript con ogni foglio
Coming from another event-sheet tool?,Vieni da un altro strumento a fogli eventi?
Open the migration guide,Apri la guida alla migrazione
Report an Issue…,Segnala un problema…
Something not working right?,Qualcosa non funziona?
Report an issue,Segnala un problema
Reopen this window any time: Tools → Welcome…,Riapri questa finestra quando vuoi: Strumenti → Benvenuto…
Translations are plain CSV files - drop one into eventsheet_translations/ and its language appears here.,Le traduzioni sono semplici file CSV - lasciane uno in eventsheet_translations/ e la sua lingua appare qui.
The 2-minute tour,Il tour di 2 minuti
Read a sheet like a sentence,Leggi un foglio come una frase
Add your first event,Aggiungi il tuo primo evento
Give it a condition,Dagli una condizione
Make it DO something,Fagli FARE qualcosa
See the honest GDScript,"Guarda il GDScript, senza trucchi"
You know the loop,Conosci il ciclo
Skip tour,Salta il tour
Back,Indietro
Next,Avanti
Finish,Fine
✓ Done - nice! Hit Next.,✓ Fatto - ottimo! Premi Avanti.
Hit Finish and go make something.,Premi Fine e vai a creare qualcosa.
"A coloured section label drawn above this property in the Inspector.
End with a #rrggbb to tint it. Editor decor only - plain comment in the code.","Un'etichetta di sezione colorata mostrata sopra questa proprietà nell'Inspector.
Termina con un #rrggbb per tingerla. Solo decorazione dell'editor - semplice commento nel codice."
"A quiet info panel drawn above this property in the Inspector.
Editor decor only - plain comment in the code.","Un pannello informativo discreto mostrato sopra questa proprietà nell'Inspector.
Solo decorazione dell'editor - semplice commento nel codice."
"A shape over 0–1 (easing, falloff, ramps).","Una curva su 0–1 (easing, attenuazione, rampe)."
A whole number (no decimals) - stored as an int. Unticked stores a float.,"Un numero intero (senza decimali) - salvato come int. Se deselezionato, salvato come float."
Access,Accesso
Advanced types,Tipi avanzati
Anatomy,Anatomia
Any type - untyped (advanced; prefer a specific type when you can).,Qualsiasi tipo - non tipizzato (avanzato; preferisci un tipo specifico quando puoi).
Clamp to range,Limita all'intervallo
Collapse the panel to a strip,Comprimi il pannello in una striscia
Default field,Campo predefinito
Description,Descrizione
Dropped Node Preview,Anteprima del nodo rilasciato
Easing curve (float: exponential ease handle),Curva di easing (float: controllo di ease esponenziale)
Edit an Array/Dictionary's items one per line instead of typing a literal.,Modifica gli elementi di un Array/Dictionary riga per riga invece di digitare un letterale.
Edit items…,Modifica elementi…
"Event-sheet-style quick add: type an event/condition/action (event-sheet phrasing works) plus optional parameter values, press Enter.","Aggiunta rapida in stile foglio eventi: digita un evento/condizione/azione (il lessico da foglio eventi funziona) più valori di parametri opzionali, poi Invio."
Every sheet function at a glance (✦ = published as an ACE). Click to expand or collapse.,Tutte le funzioni del foglio a colpo d'occhio (✦ = pubblicata come ACE). Clicca per espandere o comprimere.
Field button,Pulsante di campo
Flags,Flag
From enum,Da enum
Group under heading,Raggruppa sotto un'intestazione
"How this variable's field LOOKS in the Inspector - pickers, flags, layer grids... Plain fields need no choice here.","L'ASPETTO del campo di questa variabile nell'Inspector - selettori, flag, griglie di livelli... I campi semplici non richiedono alcuna scelta qui."
Info note,Nota informativa
"Inspector grouping, conditional show/lock, an on-changed callback, clamp, read-only - for variables that reference other variables or functions.","Raggruppamento nell'Inspector, mostra/blocca condizionale, callback on-changed, limiti, sola lettura - per variabili che riferiscono altre variabili o funzioni."
Inspector look,Aspetto nell'Inspector
Inspector preview,Anteprima dell'Inspector
Inspector section header (e.g. Combat),Intestazione di sezione dell'Inspector (es. Combattimento)
Lock unless,Blocca a meno che
"Make this sheet's published verbs (its exposed ƒ functions) available in EVERY sheet's picker, node-targeted at $<ClassName>. Extract actions to a function first (right-click an event), then teach it here.","Rendi i verbi pubblicati di questo foglio (le sue funzioni ƒ esposte) disponibili nel selettore di OGNI foglio, mirati al nodo $<ClassName>. Prima estrai le azioni in una funzione (clic destro su un evento), poi insegnala qui."
Match Editor (default),Editor di match (predefinito)
Multiline (String: big text box),Multilinea (String: casella di testo grande)
"No alpha (Color: solid RGB, no transparency)","Senza alfa (Color: RGB pieno, senza trasparenza)"
No lower limit,Nessun limite inferiore
No upper limit,Nessun limite superiore
On changed,Alla modifica
On ready,All'avvio (ready)
"On: a designer can tweak this per-instance in the Inspector (@export var).
Off: internal script state - a plain private var (the default for a new variable).","Attivo: un designer può regolarlo per istanza nell'Inspector (@export var).
Disattivo: stato interno dello script - una semplice var privata (il default per una nuova variabile)."
"On: compiles to @onready var - the Default is a GDScript EXPRESSION evaluated when the node enters the tree (e.g. $Player, get_node(""UI/Score"")), not a literal.
Use it to grab a node reference once the scene is ready.","Attivo: compila in @onready var - il Default è un'ESPRESSIONE GDScript valutata quando il nodo entra nell'albero (es. $Player, get_node(""UI/Score"")), non un letterale.
Usalo per ottenere un riferimento a un nodo quando la scena è pronta."
"One column per entry: name:type (String, int, float, bool, color for a swatch, or enum(a|b|c) for a dropdown).
Each Array element becomes a row with these cells.","Una colonna per voce: nome:tipo (String, int, float, bool, color per un campione, o enum(a|b|c) per un menu a tendina).
Ogni elemento dell'Array diventa una riga con queste celle."
Optional Inspector polish for exported globals - everything compiles to plain Godot annotations.,Rifiniture opzionali dell'Inspector per le globali esportate - tutto compila in normali annotazioni Godot.
Options (combo),Opzioni (combo)
Pick the Inspector look from picture tiles instead of the list.,Scegli l'aspetto dell'Inspector da riquadri illustrati invece che dall'elenco.
Read-only,Sola lettura
"Renders a small button with this field that calls the named sheet function.
Needs a @tool sheet to act in-editor. Label optional (defaults to the function name).","Mostra un piccolo pulsante accanto a questo campo che chiama la funzione del foglio indicata.
Richiede un foglio @tool per agire nell'editor. Etichetta opzionale (predefinita: il nome della funzione)."
Required (warn in the Inspector while unset),Richiesto (avvisa nell'Inspector finché non impostato)
Save Studio…,Salva lo Studio…
"Scaffold a ready-to-edit behaviour script in res://eventsheet_addons/ - its signals become triggers, methods become actions/conditions, and @export vars become properties, all auto-discovered as custom ACEs.","Genera uno script di comportamento pronto da modificare in res://eventsheet_addons/ - i suoi segnali diventano trigger, i metodi azioni/condizioni e le @export var proprietà, tutto auto-rilevato come ACE personalizzati."
Section header,Intestazione di sezione
"See the WHOLE sheet's Inspector as one live view - every exported variable with its decor, grouping, and widget, exactly as Godot will show it.","Vedi l'Inspector dell'INTERO foglio come un'unica vista dal vivo - ogni variabile esportata con decorazioni, raggruppamento e widget, esattamente come Godot la mostrerà."
Show as,Mostra come
Show if,Mostra se
Shown after the number in the Inspector (suffix:px).,Mostrato dopo il numero nell'Inspector (suffisso:px).
"Shows a red warning above the field until a value is assigned
(a Resource left empty, a String left blank). Editor-only.","Mostra un avviso rosso sopra il campo finché non viene assegnato un valore
(una Resource lasciata vuota, una String lasciata in bianco). Solo nell'editor."
Slider extras,Extra dello slider
"Start editing this sheet here. From then on, Save (Ctrl+S) updates the file - or use Save As… to keep the original and save a copy.","Inizia a modificare questo foglio qui. Da quel momento, Salva (Ctrl+S) aggiorna il file - oppure usa Salva come… per conservare l'originale e salvarne una copia."
Sub-heading,Sottotitolo
"Swap the Inspector field for a richer drawer (dial, swatches, curve…).
Graceful: a plain field without the editor plugin (parity preserved).","Sostituisci il campo dell'Inspector con un controllo più ricco (manopola, campioni, curva…).
Degrado elegante: un campo semplice senza il plugin dell'editor (parità preservata)."
Table columns,Colonne della tabella
"The Inspector calls this function while the property is edited and shows
the returned message above the field. Needs a @tool sheet to run in-editor.","L'Inspector chiama questa funzione durante la modifica della proprietà e mostra
il messaggio restituito sopra il campo. Richiede un foglio @tool per girare nell'editor."
The slider stops at max but typing a bigger number is allowed (or_greater).,Lo slider si ferma al massimo ma è consentito digitare un numero più grande (or_greater).
"The variable's type. For a node reference, type the node's class (Sprite2D, Label, Area2D…) or leave Variant.","Il tipo della variabile. Per un riferimento a un nodo, digita la classe del nodo (Sprite2D, Label, Area2D…) o lascia Variant."
"Turn the MCP server (AI-assistant tools) on/off. When off, connected AI clients see no tools and can't read or change your sheets. Takes effect live - no reconnect needed.","Attiva/disattiva il server MCP (strumenti per assistenti IA). Se disattivo, i client IA connessi non vedono strumenti e non possono leggere né modificare i tuoi fogli. Effetto immediato - nessuna riconnessione necessaria."
Typing below min is allowed (or_less).,È consentito digitare sotto il minimo (or_less).
Validate with,Valida con
"Write this sheet's plain, standalone GDScript to a file you own. No plugin dependency - proof you can leave the addon anytime.",Scrive il GDScript autonomo e ordinario di questo foglio in un file tuo. Nessuna dipendenza dal plugin - la prova che puoi lasciare l'addon in qualsiasi momento.
accent label above (e.g. Combat #e06666),etichetta accentata sopra (es. Combattimento #e06666)
bool variable (hidden when false),variabile bool (nascosto quando false)
bool variable (read-only when false),variabile bool (sola lettura quando false)
"columns, e.g. item:String, count:int, rare:bool","colonne, es. item:String, count:int, rare:bool"
"comma-separated, e.g. easy, normal, hard (String only)","separate da virgole, es. easy, normal, hard (solo String)"
"function and button label, e.g. reroll_stats Reroll","funzione ed etichetta del pulsante, es. reroll_stats Ritira"
grey hint shown when the field is empty,suggerimento grigio mostrato quando il campo è vuoto
"min, max, step (numeric: slider)","min, max, passo (numerico: slider)"
nested section under the group (e.g. Melee),sezione annidata sotto il gruppo (es. Mischia)
note panel above (e.g. Shared resource - edits affect every user.),pannello di nota sopra (es. Risorsa condivisa - le modifiche riguardano ogni utente.)
sheet function called after assignment,funzione del foglio chiamata dopo l'assegnazione
sheet function returning a warning String (empty = valid),funzione del foglio che restituisce una String di avviso (vuota = valido)
"type - e.g. Node2D, Label, Sprite2D (or Variant for any)","tipo - es. Node2D, Label, Sprite2D (o Variant per qualsiasi)"
"unit, e.g. px","unità, es. px"
what this variable is for - shown as its description in the Inspector,a cosa serve questa variabile - mostrato come descrizione nell'Inspector
"▸  Advanced (grouping, conditions, clamp…)","▸  Avanzato (raggruppamento, condizioni, limiti…)"
"▸  More options (range, drawer, grouping…)","▸  Altre opzioni (intervallo, controllo, raggruppamento…)"
Create Code Region,Crea regione di codice
Create Code Region…,Crea regione di codice…
Doc comment,Commento di doc
Documentation shown above the function (## …). BBCode like [b]bold[/b] is allowed.,Documentazione mostrata sopra la funzione (## …). È consentito il BBCode come [b]grassetto[/b].
Getter body,Corpo del getter
Setter body,Corpo del setter
Setter parameter,Parametro del setter
The name of the setter's incoming-value parameter (defaults to `value`).,Il nome del parametro del valore in ingresso del setter (predefinito `value`).
The statements that run when this variable is assigned (`set(value):`). Use `value` for the incoming value. Leave blank for no setter.,Le istruzioni che vengono eseguite quando questa variabile viene assegnata (`set(value):`). Usa `value` per il valore in ingresso. Lascia vuoto per nessun setter.
"The statements that run when this variable is read (`get:`), ending in `return …`. Leave blank for no getter.","Le istruzioni che vengono eseguite quando questa variabile viene letta (`get:`), che terminano con `return …`. Lascia vuoto per nessun getter."
"getter body, e.g.  return _health","corpo del getter, es.  return _health"
"setter body, e.g.  health = clampi(value, 0, max_health)","corpo del setter, es.  health = clampi(value, 0, max_health)"
A faint tint over the actions (right) lane.,Una leggera tinta sulla corsia delle azioni (destra).
A faint tint over the conditions (left) lane.,Una leggera tinta sulla corsia delle condizioni (sinistra).
"Accent (groups, selection)","Accento (gruppi, selezione)"
Action Lane Color,Colore della corsia di azione
Action Lane Padding,Spaziatura interna della corsia di azione
Action cells,Celle di azione
Alternate group header background (zebra).,Sfondo alternato dell'intestazione di gruppo (zebra).
Apply To Current Sheet,Applica al foglio corrente
Background of a group header row.,Sfondo di una riga di intestazione di gruppo.
Background of the Conditions / Actions column header bar.,Sfondo della barra di intestazione delle colonne Condizioni / Azioni.
Background of the fold triangle box on a group.,Sfondo della casella del triangolo di piega su un gruppo.
Badge Background Color,Colore di sfondo del badge
Badge Extra Width,Larghezza extra del badge
Badge Foreground Color,Colore di primo piano del badge
Base (background tone),Base (tonalità di sfondo)
Behavior Accent Color,Colore d'accento del comportamento
Border of the condition/action chip.,Bordo del chip di condizione/azione.
Cell Corner Radius,Raggio degli angoli della cella
Cell Hover Color,Colore hover della cella
Chip Background Color,Colore di sfondo del chip
Chip Border Color,Colore del bordo del chip
Chip Hover Color,Colore hover del chip
Chip fill when hovered.,Riempimento del chip al passaggio del cursore.
Close,Chiudi
Column Header Actions Color,Colore dell'intestazione Azioni
Column Header Background Color,Colore di sfondo dell'intestazione di colonna
Column Header Conditions Color,Colore dell'intestazione Condizioni
Comment Row Background Color,Colore di sfondo della riga di commento
Comment Text Color,Colore del testo del commento
Condition Badge Column Width,Larghezza colonna del badge di condizione
Condition Lane Color,Colore della corsia di condizione
Condition Lane Padding,Spaziatura interna della corsia di condizione
Condition Lane Ratio,Rapporto della corsia di condizione
Condition cells,Celle di condizione
Corner Radius,Raggio degli angoli
Corner roundness of group rows (0 = square bar).,Arrotondamento degli angoli delle righe di gruppo (0 = barra quadrata).
Corner roundness of individual condition/action cells.,Arrotondamento degli angoli delle singole celle di condizione/azione.
Corner roundness of region marker bubbles.,Arrotondamento degli angoli delle bolle dei marcatori di regione.
"Corner roundness of the chip, in pixels.","Arrotondamento degli angoli del chip, in pixel."
"Corner roundness of the event block, in pixels (0 = square).","Arrotondamento degli angoli del blocco evento, in pixel (0 = quadrato)."
"Editor (hover, selection, lanes)","Editor (hover, selezione, corsie)"
Event Corner Radius,Raggio degli angoli dell'evento
"Extra width reserved for the role badge on the chip, in pixels.","Larghezza extra riservata al badge di ruolo sul chip, in pixel."
Fill of the condition/action chip.,Riempimento del chip di condizione/azione.
Fill of the count badge on a group.,Riempimento del badge di conteggio su un gruppo.
Fill of the role badge on the chip.,Riempimento del badge di ruolo sul chip.
"Fill of the trigger arrow badge (On Ready, On Signal...).","Riempimento del badge freccia del trigger (On Ready, On Signal...)."
Font Size Delta,Delta della dimensione del carattere
Gap After,Spazio dopo
Generate Theme,Genera tema
Group Accent Color,Colore d'accento del gruppo
Group Background Alt Color,Colore di sfondo alternato del gruppo
Group Background Color,Colore di sfondo del gruppo
Group Badge Background Color,Colore di sfondo del badge del gruppo
Group Badge Foreground Color,Colore di primo piano del badge del gruppo
Group Corner Radius,Raggio degli angoli del gruppo
Group Fold Background Color,Colore di sfondo della piega del gruppo
Group Title Color,Colore del titolo del gruppo
"Height of a single event row, in pixels - raise it for more breathing room.","Altezza di una singola riga di evento, in pixel - aumentala per più respiro."
Horizontal Padding,Spaziatura interna orizzontale
Hover Fill Color,Colore di riempimento al passaggio
How much of the row width the conditions lane takes (0.2 - 0.8).,"Quanta larghezza della riga occupa la corsia delle condizioni (0,2 - 0,8)."
Icon/text colour on the trigger badge.,Colore dell'icona/del testo sul badge del trigger.
"Inner padding on the actions lane, in pixels.","Spaziatura interna della corsia delle azioni, in pixel."
"Inner padding on the conditions lane, in pixels.","Spaziatura interna della corsia delle condizioni, in pixel."
Invert Marker Color,Colore del marcatore di inversione
Lane Divider Color,Colore del divisore di corsia
Lane Divider Width,Spessore del divisore di corsia
Language Block Accent Color,Colore d'accento dei blocchi di linguaggio
Line thickness of region marker borders.,Spessore della linea dei bordi dei marcatori di regione.
Minimum Conditions Lane Width,Larghezza minima della corsia delle condizioni
Minimum Row Height,Altezza minima della riga
Object Label Color,Colore dell'etichetta dell'oggetto
"Parameter values (numbers, strings) highlighted inside ACE text.","I valori dei parametri (numeri, stringhe) evidenziati nel testo degli ACE."
"Pick a base + accent, then Generate. Fine-tune individual tokens below.","Scegli una base + un accento, poi Genera. Regola i singoli token qui sotto."
Quick Style - recolour everything at once,Stile rapido - ricolora tutto in una volta
Rebuild every colour token from the three colours above.,Ricostruisce ogni token di colore dai tre colori sopra.
Region Corner Radius,Raggio degli angoli della regione
Region Line Width,Spessore della linea della regione
Reset To Default,Ripristina predefinito
Restore the bundled default look.,Ripristina l'aspetto predefinito incluso.
Row Background Alt Color,Colore di sfondo alternato della riga
Row Background Color,Colore di sfondo della riga
Row Border Color,Colore del bordo della riga
Save As Preset…,Salva come preset…
Selection Fill Color,Colore di riempimento della selezione
Sheet & rows (event style),Foglio e righe (stile evento)
Sheet Background Color,Colore di sfondo del foglio
"Space between this chip and the next one, in pixels.","Spazio tra questo chip e il successivo, in pixel."
"Space inside the chip, above and below its text, in pixels.","Spazio dentro il chip, sopra e sotto il testo, in pixel."
"Space inside the chip, left and right of its text, in pixels.","Spazio dentro il chip, a sinistra e a destra del testo, in pixel."
Text Color,Colore del testo
Text colour of the role badge.,Colore del testo del badge di ruolo.
Text colour on the group count badge.,Colore del testo sul badge di conteggio del gruppo.
"Text size adjustment for this chip kind, relative to the sheet font (+/- points).","Regolazione della dimensione del testo per questo tipo di chip, rispetto al font del foglio (+/- punti)."
The 'Actions' header label colour.,Il colore dell'etichetta dell'intestazione «Azioni».
The 'Conditions' header label colour.,Il colore dell'etichetta dell'intestazione «Condizioni».
The background of a normal event row.,Lo sfondo di una normale riga di evento.
The background of every OTHER row (the zebra stripe).,Lo sfondo di ogni ALTRA riga (la striscia zebrata).
The banner colour behind a full-width comment.,Il colore del banner dietro un commento a tutta larghezza.
"The colour behind the whole sheet, outside the rows.","Il colore dietro l'intero foglio, fuori dalle righe."
